Season,Player,Points,Rebounds,Assists,Steals,Blocks,Threes,Turnovers,Free Throw Attempts,Free Throw %,Field Goal Attempts,Field Goal %,No Play %,Position
2001,Tim James,3,2.333333333,0.533333333,0.133333333,0.333333333,0.066666667,0.533333333,0.56,0.857142857,2.08,0.307692308,0.4,SF
2001,Tim Hardaway,47.91666667,8.5,20.125,3.75,0.25,7.875,7.875,7.24,0.801104972,41.68,0.391554702,0.04,PG
2001,Tim Duncan,72.8,39.88,9.8,2.8,7.68,0.28,9.68,26.48,0.617824773,56.24,0.499288762,0,PF
2001,Theo Ratliff,41.4,27.53333333,3.866666667,2,12.46666667,0,8.4,8.68,0.760368664,18.28,0.498905908,0.4,C
2001,Terry Porter,22.92,8.04,10.04,2.08,0.44,3.48,4.16,4.64,0.793103448,17.6,0.447727273,0,PG
2001,Terry Mills,2.777777778,2.333333333,0.555555556,0.333333333,0.111111111,0.333333333,1.111111111,0,,1.36,0.323529412,0.64,PF
2001,Terry Davis,3.666666667,5.888888889,0.777777778,0.111111111,0.111111111,0,0.555555556,0.88,0.409090909,1,0.48,0.64,PF
2001,Tom Gugliotta,16.45454545,11.59090909,2.5,2.136363636,0.954545455,0.136363636,2.318181818,3.08,0.792207792,15.2,0.392105263,0.12,PF
2001,Terrell Brandon,52.08333333,12.41666667,24.29166667,6.708333333,0.875,1.375,6.458333333,8.96,0.870535714,45.36,0.450617284,0.04,PG
2001,Tyrone Hill,29.12,27.48,1.92,1.48,1.08,0,5.08,10.92,0.63003663,23.48,0.473594549,0,PF
2001,Tyronn Lue,10,2.461538462,3.461538462,1.461538462,0,0.846153846,2.076923077,0.96,0.791666667,4.68,0.427350427,0.48,PG
2001,Andy Panko,,,,,,,,0,,0,,1,SF
2001,Zydrunas Ilgauskas,35.125,20,2.25,1.875,4.625,0,7.5,3.12,0.679487179,9.36,0.487179487,0.68,C
2001,Zendon Hamilton,4.5,4,0,0,0,0,1,0.32,0.625,0.36,0.222222222,0.92,C
2001,Zan Tabak,9.391304348,9.260869565,1.434782609,0.434782609,1.304347826,0,2.47826087,1.88,0.425531915,7.44,0.52688172,0.08,C
2001,William Avery,6.695652174,1.260869565,3.260869565,0.565217391,0.173913043,0.695652174,1.956521739,1.44,0.777777778,5.76,0.381944444,0.08,PG
2001,Will Perdue,2,2.571428571,0.285714286,0.428571429,0.285714286,0,0,0.16,0.5,0.36,0.666666667,0.72,C
2001,Wesley Person,22.42857143,9.285714286,4.571428571,1.928571429,0.785714286,2.428571429,2.857142857,1.2,0.8,11.68,0.438356164,0.44,SG
2001,Tyrone Nesby,24.38095238,8.238095238,3.619047619,2.428571429,0.952380952,2.333333333,3.095238095,4.24,0.801886792,21.2,0.356603774,0.16,SF-SG
2001,Walter McCarty,5.954545455,3.681818182,1.772727273,0.636363636,0.318181818,0.863636364,0.909090909,1.12,0.785714286,5.04,0.357142857,0.12,PF
2001,Wally Szczerbiak,45.8,17.88,10.4,2.36,1.32,1.04,5.52,8.32,0.870192308,36.8,0.509782609,0,SF
2001,Voshon Lenard,38.88,9.24,7.6,2.6,0.72,5.88,4.08,7.68,0.796875,33.84,0.397163121,0,SG
2001,Vonteego Cummings,23,6.523809524,10.80952381,3.19047619,0.666666667,2.285714286,4.333333333,4.64,0.681034483,20.68,0.344294004,0.16,PG
2001,Vladimir Stepania,6.307692308,8.384615385,1.230769231,0.769230769,0.846153846,0.076923077,1.461538462,1.36,0.735294118,3.52,0.318181818,0.48,C
2001,Vlade Divac,38.96,26.92,9.24,3.48,3.72,0.16,7.68,14,0.691428571,30.2,0.482119205,0,C
2001,Vitaly Potapenko,24.44,19.8,2.56,2.08,0.92,0,4.2,6.32,0.727848101,20.84,0.476007678,0,C
2001,Vinny Del Negro,11.04347826,3.565217391,5.47826087,1.130434783,0.130434783,0.043478261,1.47826087,1.76,0.931818182,9.36,0.452991453,0.08,PG
2001,Vince Carter,86.25,17.33333333,12.125,4.75,3.416666667,6.75,6.958333333,20.08,0.764940239,66.24,0.460144928,0.04,SF
2001,Vin Baker,38.625,17.91666667,3.75,1.583333333,3.041666667,0.041666667,6.583333333,12.84,0.722741433,32.88,0.422141119,0.04,PF
2001,Vernon Maxwell,12.5625,4.125,3.0625,1.3125,0.1875,2.125,2.1875,1.28,0.65625,8.92,0.32735426,0.36,PG
2001,Tyus Edney,10.6,2.4,5.4,1.7,0,0.1,2.5,1.56,0.897435897,3.64,0.384615385,0.6,PG
