"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Isaiah Joe","Oklahoma City Thunder","Vet",7.5,100,3.2,0.5,0.7,0.2,0.1,0.2,0.2,2.5,0.3,1.8,0.3,0.5,2024-02-05
"Monte Morris","Detroit Pistons","Vet",7.7,99,3.2,1.2,0.9,0.1,0.1,0.2,0.3,3.1,0.3,1.2,0.5,0.4,2024-02-05
"Cameron Payne","Milwaukee Bucks","Vet",7.5,100.4,3.2,1.2,0.7,0.1,0.1,0.2,0.4,2.5,0.4,1.6,0.3,0.8,2024-02-05
"Robert Williams III","Portland Trail Blazers","Vet",8.8,98.5,3.1,0.5,1.8,0.9,0.6,0.3,0.3,2.2,0.5,0.2,1.2,1,2024-02-05
"Jae'Sean Tate","Houston Rockets","Vet",11.4,99.1,3.1,0.9,1.5,0.6,0.1,0.4,0.4,2.4,0.5,0.7,1,1.7,2024-02-05
"Jaylin Williams","Oklahoma City Thunder","Sophomore",10,97.3,3.1,0.9,2,0.5,0.3,0.3,0.3,2.6,0.4,1.7,0.5,1.2,2024-02-05
"Matt Hurt","Memphis Grizzlies","Rookie",8.9,97.2,3.1,0.5,1.1,0.5,0.2,0.2,0.3,2.6,0.5,1.3,0.6,0.9,2024-02-05
"Delon Wright","Washington Wizards","Vet",9.2,98.7,2.9,1.4,0.9,0.3,0.1,0.6,0.3,2.5,0.5,0.8,0.6,0.5,2024-02-05
"Jaylen Brown","Boston Celtics","Vet",4.3,99.7,2.8,0.5,0.6,0.2,0.1,0.1,0.3,2.2,0.5,0.7,0.6,0.3,2024-02-05
"Ousmane Dieng","Oklahoma City Thunder","Sophomore",7.5,97,2.8,0.6,1,0.2,0.1,0.2,0.3,2.3,0.4,1.3,0.6,0.5,2024-02-05
